                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.49114,                0.90221,                0.39711,                0.93689,                0.91632,                0.68053,                0.78566,                0.69055,                0.91966,                0.67674,                0.77416,                0.65073,                0.45724,                0.86701,                0.39745,                 1.0334,              0.0008384,              0.0008384,              0.0008384
                     90,                0.49922,                0.91857,                0.40368,                0.93567,                 0.9117,                0.68073,                0.78826,                0.69122,                0.90712,                0.67731,                0.78235,                0.65492,                0.45363,                0.84903,                0.39314,                 1.0314,              0.0008252,              0.0008252,              0.0008252
                     91,                0.49271,                0.91809,                0.40078,                0.93565,                0.91692,                0.67959,                0.78718,                0.69051,                0.92272,                0.67389,                0.77652,                0.64953,                0.46091,                0.86513,                0.40164,                 1.0303,               0.000812,               0.000812,               0.000812
                     92,                  0.493,                0.91028,                0.40082,                0.93604,                0.90845,                0.68985,                0.78931,                 0.6877,                0.92034,                0.67183,                0.77668,                0.64613,                0.46216,                 0.8685,                 0.4086,                 1.0328,              0.0007988,              0.0007988,              0.0007988
                     93,                0.49237,                0.93434,                0.39792,                0.93455,                0.91553,                0.68593,                0.78522,                 0.6865,                0.91876,                0.66876,                0.77686,                0.64688,                0.46742,                 0.8681,                0.40691,                 1.0365,              0.0007856,              0.0007856,              0.0007856
                     94,                0.48986,                0.90256,                0.39876,                0.93547,                0.93448,                 0.6756,                0.78717,                0.69001,                0.92809,                0.66963,                0.77597,                0.64827,                 0.4588,                0.84817,                0.40279,                 1.0331,              0.0007724,              0.0007724,              0.0007724
                     95,                0.49316,                0.91568,                0.39606,                0.93377,                0.92986,                0.67264,                0.78503,                0.68587,                 0.9292,                0.66595,                0.77611,                0.65057,                 0.4688,                0.85902,                0.40273,                 1.0388,              0.0007592,              0.0007592,              0.0007592
                     96,                0.49153,                0.90849,                0.39738,                0.93263,                0.91774,                0.68056,                0.78748,                0.69097,                0.91057,                0.67389,                0.77414,                0.64759,                0.46056,                0.84392,                0.40306,                 1.0322,               0.000746,               0.000746,               0.000746
                     97,                0.48439,                0.90419,                0.39313,                0.93363,                0.91462,                0.68871,                0.79021,                 0.6915,                0.94154,                0.66118,                0.77758,                0.64955,                0.46311,                0.86493,                0.40073,                  1.031,              0.0007328,              0.0007328,              0.0007328
                     98,                0.48856,                0.90771,                0.39059,                0.93209,                0.93404,                 0.6756,                 0.7907,                0.69107,                0.93006,                0.67218,                0.78075,                0.65013,                0.45615,                0.84238,                0.39331,                  1.029,              0.0007196,              0.0007196,              0.0007196
                     99,                0.49881,                0.90861,                0.39934,                0.93542,                0.91597,                0.68757,                0.79163,                0.69415,                0.92045,                0.67959,                 0.7835,                0.65162,                0.44916,                0.84922,                0.39004,                 1.0249,              0.0007064,              0.0007064,              0.0007064
                    100,                 0.4816,                0.90366,                0.39311,                0.93168,                0.92574,                0.67674,                0.78927,                0.69009,                0.92064,                0.67465,                0.78263,                0.65643,                0.45443,                0.86745,                0.41198,                 1.0289,              0.0006932,              0.0006932,              0.0006932
                    101,                0.49165,                0.89692,                0.39339,                 0.9327,                0.92906,                0.68073,                0.79288,                 0.6932,                0.91952,                0.67332,                0.78111,                0.65173,                0.45061,                0.85673,                0.39724,                 1.0268,                0.00068,                0.00068,                0.00068
