                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.47407,                0.80412,                0.50248,                0.99003,                0.90321,                0.74479,                0.86225,                0.76789,                0.91313,                0.74458,                0.85677,                0.73023,                0.47155,                0.97986,                0.52803,                0.73985,               0.000218,               0.000218,               0.000218
                     92,                0.45835,                0.77264,                0.46757,                0.97732,                 0.8925,                0.75264,                0.86373,                0.77008,                0.89738,                0.75428,                0.86022,                0.73289,                0.46588,                 0.9675,                0.52395,                0.73774,              0.0001982,              0.0001982,              0.0001982
                     93,                0.45221,                0.76673,                0.46782,                0.97428,                0.89017,                0.75713,                0.86169,                0.77165,                0.89285,                0.75941,                0.85888,                0.73321,                 0.4569,                 0.9683,                0.52107,                0.72676,              0.0001784,              0.0001784,              0.0001784
                     94,                0.45211,                0.75499,                0.46361,                 0.9694,                0.90114,                0.75354,                0.86283,                0.77178,                0.90524,                0.75314,                0.85912,                0.73213,                  0.458,                 0.9704,                0.51667,                0.72912,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44585,                0.76329,                0.45669,                0.96783,                0.90686,                0.74857,                0.86343,                0.77099,                0.91463,                0.74572,                 0.8582,                0.73234,                0.46181,                 1.0083,                0.52078,                0.73158,              0.0001388,              0.0001388,              0.0001388
                     96,                0.44258,                0.75606,                0.44987,                0.97097,                0.89464,                 0.7577,                0.86267,                0.77184,                0.89858,                0.75767,                0.85952,                0.73275,                0.45982,                0.98095,                0.52342,                0.72688,               0.000119,               0.000119,               0.000119
                     97,                0.43993,                0.75488,                0.44252,                0.96596,                0.89876,                0.75413,                0.86345,                0.77315,                0.90409,                0.75371,                0.85874,                0.73449,                0.45885,                0.99438,                0.51888,                0.72866,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.43243,                 0.7633,                0.43882,                 0.9628,                0.88757,                 0.7577,                0.86394,                0.77346,                0.90114,                0.75713,                0.85883,                0.73227,                 0.4582,                0.98759,                0.52199,                0.72875,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.43946,                0.75369,                 0.4444,                0.96624,                0.89831,                0.75042,                0.86351,                0.77477,                 0.9024,                0.75384,                0.85863,                0.73274,                 0.4551,                 1.0019,                0.51982,                0.72683,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.43042,                0.74675,                0.43264,                0.96034,                0.89401,                0.75713,                 0.8644,                0.77509,                0.90008,                0.75143,                0.85882,                0.73367,                0.45462,                0.99882,                0.52016,                0.72556,               3.98e-05,               3.98e-05,               3.98e-05
